OT,Date,start_date,date,end_date
80173,1970-01-01,1970-01-01,1970-01-01,1970-01-31
77442,1970-02-01,1970-02-01,1970-02-01,1970-02-28
90223,1970-03-01,1970-03-01,1970-03-01,1970-03-31
89956,1970-04-01,1970-04-01,1970-04-01,1970-04-30
97972,1970-05-01,1970-05-01,1970-05-01,1970-05-31
100035,1970-06-01,1970-06-01,1970-06-01,1970-06-30
106392,1970-07-01,1970-07-01,1970-07-01,1970-07-31
106969,1970-08-01,1970-08-01,1970-08-01,1970-08-31
95254,1970-09-01,1970-09-01,1970-09-01,1970-09-30
96317,1970-10-01,1970-10-01,1970-10-01,1970-10-31
89684,1970-11-01,1970-11-01,1970-11-01,1970-11-30
89911,1970-12-01,1970-12-01,1970-12-01,1970-12-31
85336,1971-01-01,1971-01-01,1971-01-01,1971-01-31
80118,1971-02-01,1971-02-01,1971-02-01,1971-02-28
92974,1971-03-01,1971-03-01,1971-03-01,1971-03-31
98106,1971-04-01,1971-04-01,1971-04-01,1971-04-30
103655,1971-05-01,1971-05-01,1971-05-01,1971-05-31
105433,1971-06-01,1971-06-01,1971-06-01,1971-06-30
112466,1971-07-01,1971-07-01,1971-07-01,1971-07-31
112642,1971-08-01,1971-08-01,1971-08-01,1971-08-31
101290,1971-09-01,1971-09-01,1971-09-01,1971-09-30
102525,1971-10-01,1971-10-01,1971-10-01,1971-10-31
95555,1971-11-01,1971-11-01,1971-11-01,1971-11-30
95515,1971-12-01,1971-12-01,1971-12-01,1971-12-31
92465,1972-01-01,1972-01-01,1972-01-01,1972-01-31
88272,1972-02-01,1972-02-01,1972-02-01,1972-02-29
102926,1972-03-01,1972-03-01,1972-03-01,1972-03-31
103238,1972-04-01,1972-04-01,1972-04-01,1972-04-30
110945,1972-05-01,1972-05-01,1972-05-01,1972-05-31
113265,1972-06-01,1972-06-01,1972-06-01,1972-06-30
118594,1972-07-01,1972-07-01,1972-07-01,1972-07-31
119913,1972-08-01,1972-08-01,1972-08-01,1972-08-31
108072,1972-09-01,1972-09-01,1972-09-01,1972-09-30
108841,1972-10-01,1972-10-01,1972-10-01,1972-10-31
100791,1972-11-01,1972-11-01,1972-11-01,1972-11-30
101040,1972-12-01,1972-12-01,1972-12-01,1972-12-31
96664,1973-01-01,1973-01-01,1973-01-01,1973-01-31
92567,1973-02-01,1973-02-01,1973-02-01,1973-02-28
107490,1973-03-01,1973-03-01,1973-03-01,1973-03-31
108120,1973-04-01,1973-04-01,1973-04-01,1973-04-30
114819,1973-05-01,1973-05-01,1973-05-01,1973-05-31
115859,1973-06-01,1973-06-01,1973-06-01,1973-06-30
121685,1973-07-01,1973-07-01,1973-07-01,1973-07-31
124426,1973-08-01,1973-08-01,1973-08-01,1973-08-31
110332,1973-09-01,1973-09-01,1973-09-01,1973-09-30
113089,1973-10-01,1973-10-01,1973-10-01,1973-10-31
104381,1973-11-01,1973-11-01,1973-11-01,1973-11-30
98856,1973-12-01,1973-12-01,1973-12-01,1973-12-31
95030,1974-01-01,1974-01-01,1974-01-01,1974-01-31
86426,1974-02-01,1974-02-01,1974-02-01,1974-02-28
100736,1974-03-01,1974-03-01,1974-03-01,1974-03-31
104579,1974-04-01,1974-04-01,1974-04-01,1974-04-30
112167,1974-05-01,1974-05-01,1974-05-01,1974-05-31
113888,1974-06-01,1974-06-01,1974-06-01,1974-06-30
120890,1974-07-01,1974-07-01,1974-07-01,1974-07-31
124070,1974-08-01,1974-08-01,1974-08-01,1974-08-31
109125,1974-09-01,1974-09-01,1974-09-01,1974-09-30
112572,1974-10-01,1974-10-01,1974-10-01,1974-10-31
105079,1974-11-01,1974-11-01,1974-11-01,1974-11-30
105083,1974-12-01,1974-12-01,1974-12-01,1974-12-31
98342,1975-01-01,1975-01-01,1975-01-01,1975-01-31
91303,1975-02-01,1975-02-01,1975-02-01,1975-02-28
106070,1975-03-01,1975-03-01,1975-03-01,1975-03-31
107133,1975-04-01,1975-04-01,1975-04-01,1975-04-30
116659,1975-05-01,1975-05-01,1975-05-01,1975-05-31
118388,1975-06-01,1975-06-01,1975-06-01,1975-06-30
124493,1975-07-01,1975-07-01,1975-07-01,1975-07-31
126103,1975-08-01,1975-08-01,1975-08-01,1975-08-31
111399,1975-09-01,1975-09-01,1975-09-01,1975-09-30
115250,1975-10-01,1975-10-01,1975-10-01,1975-10-31
106990,1975-11-01,1975-11-01,1975-11-01,1975-11-30
107945,1975-12-01,1975-12-01,1975-12-01,1975-12-31
102460,1976-01-01,1976-01-01,1976-01-01,1976-01-31
98528,1976-02-01,1976-02-01,1976-02-01,1976-02-29
114284,1976-03-01,1976-03-01,1976-03-01,1976-03-31
117014,1976-04-01,1976-04-01,1976-04-01,1976-04-30
123278,1976-05-01,1976-05-01,1976-05-01,1976-05-31
124128,1976-06-01,1976-06-01,1976-06-01,1976-06-30
130891,1976-07-01,1976-07-01,1976-07-01,1976-07-31
131913,1976-08-01,1976-08-01,1976-08-01,1976-08-31
119431,1976-09-01,1976-09-01,1976-09-01,1976-09-30
121210,1976-10-01,1976-10-01,1976-10-01,1976-10-31
112996,1976-11-01,1976-11-01,1976-11-01,1976-11-30
113030,1976-12-01,1976-12-01,1976-12-01,1976-12-31
102445,1977-01-01,1977-01-01,1977-01-01,1977-01-31
102416,1977-02-01,1977-02-01,1977-02-01,1977-02-28
119960,1977-03-01,1977-03-01,1977-03-01,1977-03-31
121513,1977-04-01,1977-04-01,1977-04-01,1977-04-30
128884,1977-05-01,1977-05-01,1977-05-01,1977-05-31
129321,1977-06-01,1977-06-01,1977-06-01,1977-06-30
136199,1977-07-01,1977-07-01,1977-07-01,1977-07-31
136337,1977-08-01,1977-08-01,1977-08-01,1977-08-31
124203,1977-09-01,1977-09-01,1977-09-01,1977-09-30
127388,1977-10-01,1977-10-01,1977-10-01,1977-10-31
118486,1977-11-01,1977-11-01,1977-11-01,1977-11-30
116257,1977-12-01,1977-12-01,1977-12-01,1977-12-31
109838,1978-01-01,1978-01-01,1978-01-01,1978-01-31
107018,1978-02-01,1978-02-01,1978-02-01,1978-02-28
125035,1978-03-01,1978-03-01,1978-03-01,1978-03-31
122741,1978-04-01,1978-04-01,1978-04-01,1978-04-30
134427,1978-05-01,1978-05-01,1978-05-01,1978-05-31
138883,1978-06-01,1978-06-01,1978-06-01,1978-06-30
148209,1978-07-01,1978-07-01,1978-07-01,1978-07-31
149461,1978-08-01,1978-08-01,1978-08-01,1978-08-31
131385,1978-09-01,1978-09-01,1978-09-01,1978-09-30
132930,1978-10-01,1978-10-01,1978-10-01,1978-10-31
123690,1978-11-01,1978-11-01,1978-11-01,1978-11-30
124595,1978-12-01,1978-12-01,1978-12-01,1978-12-31
114354,1979-01-01,1979-01-01,1979-01-01,1979-01-31
109650,1979-02-01,1979-02-01,1979-02-01,1979-02-28
131406,1979-03-01,1979-03-01,1979-03-01,1979-03-31
129539,1979-04-01,1979-04-01,1979-04-01,1979-04-30
132394,1979-05-01,1979-05-01,1979-05-01,1979-05-31
131192,1979-06-01,1979-06-01,1979-06-01,1979-06-30
134853,1979-07-01,1979-07-01,1979-07-01,1979-07-31
139942,1979-08-01,1979-08-01,1979-08-01,1979-08-31
127576,1979-09-01,1979-09-01,1979-09-01,1979-09-30
131619,1979-10-01,1979-10-01,1979-10-01,1979-10-31
123381,1979-11-01,1979-11-01,1979-11-01,1979-11-30
123226,1979-12-01,1979-12-01,1979-12-01,1979-12-31
116462,1980-01-01,1980-01-01,1980-01-01,1980-01-31
107338,1980-02-01,1980-02-01,1980-02-01,1980-02-29
125179,1980-03-01,1980-03-01,1980-03-01,1980-03-31
125698,1980-04-01,1980-04-01,1980-04-01,1980-04-30
131269,1980-05-01,1980-05-01,1980-05-01,1980-05-31
131679,1980-06-01,1980-06-01,1980-06-01,1980-06-30
136250,1980-07-01,1980-07-01,1980-07-01,1980-07-31
138666,1980-08-01,1980-08-01,1980-08-01,1980-08-31
127482,1980-09-01,1980-09-01,1980-09-01,1980-09-30
132615,1980-10-01,1980-10-01,1980-10-01,1980-10-31
123420,1980-11-01,1980-11-01,1980-11-01,1980-11-30
124798,1980-12-01,1980-12-01,1980-12-01,1980-12-31
116049,1981-01-01,1981-01-01,1981-01-01,1981-01-31
109765,1981-02-01,1981-02-01,1981-02-01,1981-02-28
127798,1981-03-01,1981-03-01,1981-03-01,1981-03-31
128465,1981-04-01,1981-04-01,1981-04-01,1981-04-30
134305,1981-05-01,1981-05-01,1981-05-01,1981-05-31
135545,1981-06-01,1981-06-01,1981-06-01,1981-06-30
141253,1981-07-01,1981-07-01,1981-07-01,1981-07-31
143464,1981-08-01,1981-08-01,1981-08-01,1981-08-31
131185,1981-09-01,1981-09-01,1981-09-01,1981-09-30
133216,1981-10-01,1981-10-01,1981-10-01,1981-10-31
124804,1981-11-01,1981-11-01,1981-11-01,1981-11-30
124421,1981-12-01,1981-12-01,1981-12-01,1981-12-31
109757,1982-01-01,1982-01-01,1982-01-01,1982-01-31
107512,1982-02-01,1982-02-01,1982-02-01,1982-02-28
128182,1982-03-01,1982-03-01,1982-03-01,1982-03-31
129845,1982-04-01,1982-04-01,1982-04-01,1982-04-30
140283,1982-05-01,1982-05-01,1982-05-01,1982-05-31
142111,1982-06-01,1982-06-01,1982-06-01,1982-06-30
152200,1982-07-01,1982-07-01,1982-07-01,1982-07-31
153300,1982-08-01,1982-08-01,1982-08-01,1982-08-31
136311,1982-09-01,1982-09-01,1982-09-01,1982-09-30
138780,1982-10-01,1982-10-01,1982-10-01,1982-10-31
127061,1982-11-01,1982-11-01,1982-11-01,1982-11-30
127139,1982-12-01,1982-12-01,1982-12-01,1982-12-31
119436,1983-01-01,1983-01-01,1983-01-01,1983-01-31
111828,1983-02-01,1983-02-01,1983-02-01,1983-02-28
132814,1983-03-01,1983-03-01,1983-03-01,1983-03-31
132741,1983-04-01,1983-04-01,1983-04-01,1983-04-30
143619,1983-05-01,1983-05-01,1983-05-01,1983-05-31
146738,1983-06-01,1983-06-01,1983-06-01,1983-06-30
156823,1983-07-01,1983-07-01,1983-07-01,1983-07-31
157649,1983-08-01,1983-08-01,1983-08-01,1983-08-31
139938,1983-09-01,1983-09-01,1983-09-01,1983-09-30
144044,1983-10-01,1983-10-01,1983-10-01,1983-10-31
133700,1983-11-01,1983-11-01,1983-11-01,1983-11-30
129776,1983-12-01,1983-12-01,1983-12-01,1983-12-31
122529,1984-01-01,1984-01-01,1984-01-01,1984-01-31
117483,1984-02-01,1984-02-01,1984-02-01,1984-02-29
137307,1984-03-01,1984-03-01,1984-03-01,1984-03-31
141327,1984-04-01,1984-04-01,1984-04-01,1984-04-30
151046,1984-05-01,1984-05-01,1984-05-01,1984-05-31
153403,1984-06-01,1984-06-01,1984-06-01,1984-06-30
161702,1984-07-01,1984-07-01,1984-07-01,1984-07-31
164920,1984-08-01,1984-08-01,1984-08-01,1984-08-31
146074,1984-09-01,1984-09-01,1984-09-01,1984-09-30
147610,1984-10-01,1984-10-01,1984-10-01,1984-10-31
137272,1984-11-01,1984-11-01,1984-11-01,1984-11-30
136095,1984-12-01,1984-12-01,1984-12-01,1984-12-31
124122,1985-01-01,1985-01-01,1985-01-01,1985-01-31
119367,1985-02-01,1985-02-01,1985-02-01,1985-02-28
144424,1985-03-01,1985-03-01,1985-03-01,1985-03-31
147635,1985-04-01,1985-04-01,1985-04-01,1985-04-30
156726,1985-05-01,1985-05-01,1985-05-01,1985-05-31
158703,1985-06-01,1985-06-01,1985-06-01,1985-06-30
166881,1985-07-01,1985-07-01,1985-07-01,1985-07-31
169437,1985-08-01,1985-08-01,1985-08-01,1985-08-31
150424,1985-09-01,1985-09-01,1985-09-01,1985-09-30
154587,1985-10-01,1985-10-01,1985-10-01,1985-10-31
140872,1985-11-01,1985-11-01,1985-11-01,1985-11-30
141584,1985-12-01,1985-12-01,1985-12-01,1985-12-31
132998,1986-01-01,1986-01-01,1986-01-01,1986-01-31
123526,1986-02-01,1986-02-01,1986-02-01,1986-02-28
151183,1986-03-01,1986-03-01,1986-03-01,1986-03-31
150277,1986-04-01,1986-04-01,1986-04-01,1986-04-30
160459,1986-05-01,1986-05-01,1986-05-01,1986-05-31
162370,1986-06-01,1986-06-01,1986-06-01,1986-06-30
171114,1986-07-01,1986-07-01,1986-07-01,1986-07-31
173977,1986-08-01,1986-08-01,1986-08-01,1986-08-31
155462,1986-09-01,1986-09-01,1986-09-01,1986-09-30
159434,1986-10-01,1986-10-01,1986-10-01,1986-10-31
147813,1986-11-01,1986-11-01,1986-11-01,1986-11-30
149628,1986-12-01,1986-12-01,1986-12-01,1986-12-31
139918,1987-01-01,1987-01-01,1987-01-01,1987-01-31
135996,1987-02-01,1987-02-01,1987-02-01,1987-02-28
157573,1987-03-01,1987-03-01,1987-03-01,1987-03-31
159801,1987-04-01,1987-04-01,1987-04-01,1987-04-30
167776,1987-05-01,1987-05-01,1987-05-01,1987-05-31
167826,1987-06-01,1987-06-01,1987-06-01,1987-06-30
175783,1987-07-01,1987-07-01,1987-07-01,1987-07-31
177378,1987-08-01,1987-08-01,1987-08-01,1987-08-31
164184,1987-09-01,1987-09-01,1987-09-01,1987-09-30
166836,1987-10-01,1987-10-01,1987-10-01,1987-10-31
155676,1987-11-01,1987-11-01,1987-11-01,1987-11-30
155580,1987-12-01,1987-12-01,1987-12-01,1987-12-31
148879,1988-01-01,1988-01-01,1988-01-01,1988-01-31
141748,1988-02-01,1988-02-01,1988-02-01,1988-02-29
167836,1988-03-01,1988-03-01,1988-03-01,1988-03-31
166804,1988-04-01,1988-04-01,1988-04-01,1988-04-30
178042,1988-05-01,1988-05-01,1988-05-01,1988-05-31
178690,1988-06-01,1988-06-01,1988-06-01,1988-06-30
184779,1988-07-01,1988-07-01,1988-07-01,1988-07-31
184503,1988-08-01,1988-08-01,1988-08-01,1988-08-31
171072,1988-09-01,1988-09-01,1988-09-01,1988-09-30
175478,1988-10-01,1988-10-01,1988-10-01,1988-10-31
162957,1988-11-01,1988-11-01,1988-11-01,1988-11-30
164798,1988-12-01,1988-12-01,1988-12-01,1988-12-31
159750,1989-01-01,1989-01-01,1989-01-01,1989-01-31
146732,1989-02-01,1989-02-01,1989-02-01,1989-02-28
174990,1989-03-01,1989-03-01,1989-03-01,1989-03-31
174320,1989-04-01,1989-04-01,1989-04-01,1989-04-30
184823,1989-05-01,1989-05-01,1989-05-01,1989-05-31
184094,1989-06-01,1989-06-01,1989-06-01,1989-06-30
190985,1989-07-01,1989-07-01,1989-07-01,1989-07-31
194172,1989-08-01,1989-08-01,1989-08-01,1989-08-31
177326,1989-09-01,1989-09-01,1989-09-01,1989-09-30
182583,1989-10-01,1989-10-01,1989-10-01,1989-10-31
169735,1989-11-01,1989-11-01,1989-11-01,1989-11-30
167530,1989-12-01,1989-12-01,1989-12-01,1989-12-31
163600,1990-01-01,1990-01-01,1990-01-01,1990-01-31
153559,1990-02-01,1990-02-01,1990-02-01,1990-02-28
178771,1990-03-01,1990-03-01,1990-03-01,1990-03-31
179033,1990-04-01,1990-04-01,1990-04-01,1990-04-30
189247,1990-05-01,1990-05-01,1990-05-01,1990-05-31
189529,1990-06-01,1990-06-01,1990-06-01,1990-06-30
195470,1990-07-01,1990-07-01,1990-07-01,1990-07-31
197057,1990-08-01,1990-08-01,1990-08-01,1990-08-31
178415,1990-09-01,1990-09-01,1990-09-01,1990-09-30
182634,1990-10-01,1990-10-01,1990-10-01,1990-10-31
171565,1990-11-01,1990-11-01,1990-11-01,1990-11-30
168621,1990-12-01,1990-12-01,1990-12-01,1990-12-31
157889,1991-01-01,1991-01-01,1991-01-01,1991-01-31
153351,1991-02-01,1991-02-01,1991-02-01,1991-02-28
179076,1991-03-01,1991-03-01,1991-03-01,1991-03-31
179538,1991-04-01,1991-04-01,1991-04-01,1991-04-30
191929,1991-05-01,1991-05-01,1991-05-01,1991-05-31
193467,1991-06-01,1991-06-01,1991-06-01,1991-06-30
198387,1991-07-01,1991-07-01,1991-07-01,1991-07-31
204063,1991-08-01,1991-08-01,1991-08-01,1991-08-31
183594,1991-09-01,1991-09-01,1991-09-01,1991-09-30
188445,1991-10-01,1991-10-01,1991-10-01,1991-10-31
169693,1991-11-01,1991-11-01,1991-11-01,1991-11-30
172782,1991-12-01,1991-12-01,1991-12-01,1991-12-31
167652,1992-01-01,1992-01-01,1992-01-01,1992-01-31
160204,1992-02-01,1992-02-01,1992-02-01,1992-02-29
183778,1992-03-01,1992-03-01,1992-03-01,1992-03-31
186069,1992-04-01,1992-04-01,1992-04-01,1992-04-30
196725,1992-05-01,1992-05-01,1992-05-01,1992-05-31
197232,1992-06-01,1992-06-01,1992-06-01,1992-06-30
206616,1992-07-01,1992-07-01,1992-07-01,1992-07-31
204753,1992-08-01,1992-08-01,1992-08-01,1992-08-31
190908,1992-09-01,1992-09-01,1992-09-01,1992-09-30
194836,1992-10-01,1992-10-01,1992-10-01,1992-10-31
177380,1992-11-01,1992-11-01,1992-11-01,1992-11-30
180999,1992-12-01,1992-12-01,1992-12-01,1992-12-31
171680,1993-01-01,1993-01-01,1993-01-01,1993-01-31
162844,1993-02-01,1993-02-01,1993-02-01,1993-02-28
187869,1993-03-01,1993-03-01,1993-03-01,1993-03-31
188737,1993-04-01,1993-04-01,1993-04-01,1993-04-30
205981,1993-05-01,1993-05-01,1993-05-01,1993-05-31
199414,1993-06-01,1993-06-01,1993-06-01,1993-06-30
209838,1993-07-01,1993-07-01,1993-07-01,1993-07-31
209634,1993-08-01,1993-08-01,1993-08-01,1993-08-31
193765,1993-09-01,1993-09-01,1993-09-01,1993-09-30
197793,1993-10-01,1993-10-01,1993-10-01,1993-10-31
182322,1993-11-01,1993-11-01,1993-11-01,1993-11-30
186828,1993-12-01,1993-12-01,1993-12-01,1993-12-31
169314,1994-01-01,1994-01-01,1994-01-01,1994-01-31
166444,1994-02-01,1994-02-01,1994-02-01,1994-02-28
196190,1994-03-01,1994-03-01,1994-03-01,1994-03-31
195407,1994-04-01,1994-04-01,1994-04-01,1994-04-30
206594,1994-05-01,1994-05-01,1994-05-01,1994-05-31
207280,1994-06-01,1994-06-01,1994-06-01,1994-06-30
214778,1994-07-01,1994-07-01,1994-07-01,1994-07-31
215045,1994-08-01,1994-08-01,1994-08-01,1994-08-31
200511,1994-09-01,1994-09-01,1994-09-01,1994-09-30
202864,1994-10-01,1994-10-01,1994-10-01,1994-10-31
190074,1994-11-01,1994-11-01,1994-11-01,1994-11-30
193087,1994-12-01,1994-12-01,1994-12-01,1994-12-31
193838,1995-01-01,1995-01-01,1995-01-01,1995-01-31
171053,1995-02-01,1995-02-01,1995-02-01,1995-02-28
201227,1995-03-01,1995-03-01,1995-03-01,1995-03-31
198213,1995-04-01,1995-04-01,1995-04-01,1995-04-30
212586,1995-05-01,1995-05-01,1995-05-01,1995-05-31
211370,1995-06-01,1995-06-01,1995-06-01,1995-06-30
217188,1995-07-01,1995-07-01,1995-07-01,1995-07-31
219216,1995-08-01,1995-08-01,1995-08-01,1995-08-31
203866,1995-09-01,1995-09-01,1995-09-01,1995-09-30
206745,1995-10-01,1995-10-01,1995-10-01,1995-10-31
194131,1995-11-01,1995-11-01,1995-11-01,1995-11-30
193341,1995-12-01,1995-12-01,1995-12-01,1995-12-31
183465,1996-01-01,1996-01-01,1996-01-01,1996-01-31
176562,1996-02-01,1996-02-01,1996-02-01,1996-02-29
204172,1996-03-01,1996-03-01,1996-03-01,1996-03-31
205253,1996-04-01,1996-04-01,1996-04-01,1996-04-30
218676,1996-05-01,1996-05-01,1996-05-01,1996-05-31
215551,1996-06-01,1996-06-01,1996-06-01,1996-06-30
225109,1996-07-01,1996-07-01,1996-07-01,1996-07-31
229050,1996-08-01,1996-08-01,1996-08-01,1996-08-31
207604,1996-09-01,1996-09-01,1996-09-01,1996-09-30
215654,1996-10-01,1996-10-01,1996-10-01,1996-10-31
199643,1996-11-01,1996-11-01,1996-11-01,1996-11-30
201462,1996-12-01,1996-12-01,1996-12-01,1996-12-31
190126,1997-01-01,1997-01-01,1997-01-01,1997-01-31
