OT,Date,start_date,date,end_date
183950,1997-02-01,1997-02-01,1997-02-01,1997-02-28
211952,1997-03-01,1997-03-01,1997-03-01,1997-03-31
211290,1997-04-01,1997-04-01,1997-04-01,1997-04-30
226082,1997-05-01,1997-05-01,1997-05-01,1997-05-31
222254,1997-06-01,1997-06-01,1997-06-01,1997-06-30
236713,1997-07-01,1997-07-01,1997-07-01,1997-07-31
233496,1997-08-01,1997-08-01,1997-08-01,1997-08-31
213547,1997-09-01,1997-09-01,1997-09-01,1997-09-30
221219,1997-10-01,1997-10-01,1997-10-01,1997-10-31
202422,1997-11-01,1997-11-01,1997-11-01,1997-11-30
207322,1997-12-01,1997-12-01,1997-12-01,1997-12-31
196870,1998-01-01,1998-01-01,1998-01-01,1998-01-31
187167,1998-02-01,1998-02-01,1998-02-01,1998-02-28
214222,1998-03-01,1998-03-01,1998-03-01,1998-03-31
217921,1998-04-01,1998-04-01,1998-04-01,1998-04-30
227899,1998-05-01,1998-05-01,1998-05-01,1998-05-31
228733,1998-06-01,1998-06-01,1998-06-01,1998-06-30
239944,1998-07-01,1998-07-01,1998-07-01,1998-07-31
237143,1998-08-01,1998-08-01,1998-08-01,1998-08-31
219461,1998-09-01,1998-09-01,1998-09-01,1998-09-30
228523,1998-10-01,1998-10-01,1998-10-01,1998-10-31
211178,1998-11-01,1998-11-01,1998-11-01,1998-11-30
216303,1998-12-01,1998-12-01,1998-12-01,1998-12-31
193581,1999-01-01,1999-01-01,1999-01-01,1999-01-31
191485,1999-02-01,1999-02-01,1999-02-01,1999-02-28
220763,1999-03-01,1999-03-01,1999-03-01,1999-03-31
220996,1999-04-01,1999-04-01,1999-04-01,1999-04-30
230786,1999-05-01,1999-05-01,1999-05-01,1999-05-31
235970,1999-06-01,1999-06-01,1999-06-01,1999-06-30
243116,1999-07-01,1999-07-01,1999-07-01,1999-07-31
241503,1999-08-01,1999-08-01,1999-08-01,1999-08-31
224306,1999-09-01,1999-09-01,1999-09-01,1999-09-30
233631,1999-10-01,1999-10-01,1999-10-01,1999-10-31
221856,1999-11-01,1999-11-01,1999-11-01,1999-11-30
221465,1999-12-01,1999-12-01,1999-12-01,1999-12-31
203442,2000-01-01,2000-01-01,2000-01-01,2000-01-31
199261,2000-02-01,2000-02-01,2000-02-01,2000-02-29
232490,2000-03-01,2000-03-01,2000-03-01,2000-03-31
227698,2000-04-01,2000-04-01,2000-04-01,2000-04-30
242501,2000-05-01,2000-05-01,2000-05-01,2000-05-31
242963,2000-06-01,2000-06-01,2000-06-01,2000-06-30
245140,2000-07-01,2000-07-01,2000-07-01,2000-07-31
247832,2000-08-01,2000-08-01,2000-08-01,2000-08-31
227899,2000-09-01,2000-09-01,2000-09-01,2000-09-30
236491,2000-10-01,2000-10-01,2000-10-01,2000-10-31
222819,2000-11-01,2000-11-01,2000-11-01,2000-11-30
218390,2000-12-01,2000-12-01,2000-12-01,2000-12-31
209685,2001-01-01,2001-01-01,2001-01-01,2001-01-31
200876,2001-02-01,2001-02-01,2001-02-01,2001-02-28
232587,2001-03-01,2001-03-01,2001-03-01,2001-03-31
232513,2001-04-01,2001-04-01,2001-04-01,2001-04-30
245357,2001-05-01,2001-05-01,2001-05-01,2001-05-31
243498,2001-06-01,2001-06-01,2001-06-01,2001-06-30
250363,2001-07-01,2001-07-01,2001-07-01,2001-07-31
253274,2001-08-01,2001-08-01,2001-08-01,2001-08-31
226312,2001-09-01,2001-09-01,2001-09-01,2001-09-30
241050,2001-10-01,2001-10-01,2001-10-01,2001-10-31
230511,2001-11-01,2001-11-01,2001-11-01,2001-11-30
229584,2001-12-01,2001-12-01,2001-12-01,2001-12-31
215215,2002-01-01,2002-01-01,2002-01-01,2002-01-31
208237,2002-02-01,2002-02-01,2002-02-01,2002-02-28
236070,2002-03-01,2002-03-01,2002-03-01,2002-03-31
237226,2002-04-01,2002-04-01,2002-04-01,2002-04-30
251746,2002-05-01,2002-05-01,2002-05-01,2002-05-31
247868,2002-06-01,2002-06-01,2002-06-01,2002-06-30
256392,2002-07-01,2002-07-01,2002-07-01,2002-07-31
258666,2002-08-01,2002-08-01,2002-08-01,2002-08-31
233625,2002-09-01,2002-09-01,2002-09-01,2002-09-30
245556,2002-10-01,2002-10-01,2002-10-01,2002-10-31
230648,2002-11-01,2002-11-01,2002-11-01,2002-11-30
234260,2002-12-01,2002-12-01,2002-12-01,2002-12-31
218534,2003-01-01,2003-01-01,2003-01-01,2003-01-31
203677,2003-02-01,2003-02-01,2003-02-01,2003-02-28
236679,2003-03-01,2003-03-01,2003-03-01,2003-03-31
239415,2003-04-01,2003-04-01,2003-04-01,2003-04-30
253244,2003-05-01,2003-05-01,2003-05-01,2003-05-31
252145,2003-06-01,2003-06-01,2003-06-01,2003-06-30
262105,2003-07-01,2003-07-01,2003-07-01,2003-07-31
260687,2003-08-01,2003-08-01,2003-08-01,2003-08-31
237451,2003-09-01,2003-09-01,2003-09-01,2003-09-30
254048,2003-10-01,2003-10-01,2003-10-01,2003-10-31
233698,2003-11-01,2003-11-01,2003-11-01,2003-11-30
238538,2003-12-01,2003-12-01,2003-12-01,2003-12-31
222450,2004-01-01,2004-01-01,2004-01-01,2004-01-31
213709,2004-02-01,2004-02-01,2004-02-01,2004-02-29
251403,2004-03-01,2004-03-01,2004-03-01,2004-03-31
250968,2004-04-01,2004-04-01,2004-04-01,2004-04-30
257235,2004-05-01,2004-05-01,2004-05-01,2004-05-31
257383,2004-06-01,2004-06-01,2004-06-01,2004-06-30
265969,2004-07-01,2004-07-01,2004-07-01,2004-07-31
262836,2004-08-01,2004-08-01,2004-08-01,2004-08-31
243515,2004-09-01,2004-09-01,2004-09-01,2004-09-30
254496,2004-10-01,2004-10-01,2004-10-01,2004-10-31
239796,2004-11-01,2004-11-01,2004-11-01,2004-11-30
245029,2004-12-01,2004-12-01,2004-12-01,2004-12-31
224072,2005-01-01,2005-01-01,2005-01-01,2005-01-31
219970,2005-02-01,2005-02-01,2005-02-01,2005-02-28
253182,2005-03-01,2005-03-01,2005-03-01,2005-03-31
250860,2005-04-01,2005-04-01,2005-04-01,2005-04-30
262678,2005-05-01,2005-05-01,2005-05-01,2005-05-31
263816,2005-06-01,2005-06-01,2005-06-01,2005-06-30
267025,2005-07-01,2005-07-01,2005-07-01,2005-07-31
265323,2005-08-01,2005-08-01,2005-08-01,2005-08-31
242240,2005-09-01,2005-09-01,2005-09-01,2005-09-30
251419,2005-10-01,2005-10-01,2005-10-01,2005-10-31
243056,2005-11-01,2005-11-01,2005-11-01,2005-11-30
245787,2005-12-01,2005-12-01,2005-12-01,2005-12-31
233282,2006-01-01,2006-01-01,2006-01-01,2006-01-31
220711,2006-02-01,2006-02-01,2006-02-01,2006-02-28
256623,2006-03-01,2006-03-01,2006-03-01,2006-03-31
250644,2006-04-01,2006-04-01,2006-04-01,2006-04-30
263370,2006-05-01,2006-05-01,2006-05-01,2006-05-31
263782,2006-06-01,2006-06-01,2006-06-01,2006-06-30
263421,2006-07-01,2006-07-01,2006-07-01,2006-07-31
265206,2006-08-01,2006-08-01,2006-08-01,2006-08-31
245605,2006-09-01,2006-09-01,2006-09-01,2006-09-30
257939,2006-10-01,2006-10-01,2006-10-01,2006-10-31
245346,2006-11-01,2006-11-01,2006-11-01,2006-11-30
248187,2006-12-01,2006-12-01,2006-12-01,2006-12-31
233621,2007-01-01,2007-01-01,2007-01-01,2007-01-31
219232,2007-02-01,2007-02-01,2007-02-01,2007-02-28
259638,2007-03-01,2007-03-01,2007-03-01,2007-03-31
252595,2007-04-01,2007-04-01,2007-04-01,2007-04-30
267574,2007-05-01,2007-05-01,2007-05-01,2007-05-31
265374,2007-06-01,2007-06-01,2007-06-01,2007-06-30
267106,2007-07-01,2007-07-01,2007-07-01,2007-07-31
271225,2007-08-01,2007-08-01,2007-08-01,2007-08-31
245965,2007-09-01,2007-09-01,2007-09-01,2007-09-30
261423,2007-10-01,2007-10-01,2007-10-01,2007-10-31
245787,2007-11-01,2007-11-01,2007-11-01,2007-11-30
240281,2007-12-01,2007-12-01,2007-12-01,2007-12-31
232920,2008-01-01,2008-01-01,2008-01-01,2008-01-31
221336,2008-02-01,2008-02-01,2008-02-01,2008-02-29
252343,2008-03-01,2008-03-01,2008-03-01,2008-03-31
252088,2008-04-01,2008-04-01,2008-04-01,2008-04-30
261466,2008-05-01,2008-05-01,2008-05-01,2008-05-31
257484,2008-06-01,2008-06-01,2008-06-01,2008-06-30
261600,2008-07-01,2008-07-01,2008-07-01,2008-07-31
260609,2008-08-01,2008-08-01,2008-08-01,2008-08-31
239607,2008-09-01,2008-09-01,2008-09-01,2008-09-30
255848,2008-10-01,2008-10-01,2008-10-01,2008-10-31
236465,2008-11-01,2008-11-01,2008-11-01,2008-11-30
241742,2008-12-01,2008-12-01,2008-12-01,2008-12-31
225529,2009-01-01,2009-01-01,2009-01-01,2009-01-31
217643,2009-02-01,2009-02-01,2009-02-01,2009-02-28
249741,2009-03-01,2009-03-01,2009-03-01,2009-03-31
251374,2009-04-01,2009-04-01,2009-04-01,2009-04-30
258276,2009-05-01,2009-05-01,2009-05-01,2009-05-31
258395,2009-06-01,2009-06-01,2009-06-01,2009-06-30
264472,2009-07-01,2009-07-01,2009-07-01,2009-07-31
260297,2009-08-01,2009-08-01,2009-08-01,2009-08-31
241970,2009-09-01,2009-09-01,2009-09-01,2009-09-30
252209,2009-10-01,2009-10-01,2009-10-01,2009-10-31
237264,2009-11-01,2009-11-01,2009-11-01,2009-11-30
239593,2009-12-01,2009-12-01,2009-12-01,2009-12-31
220839,2010-01-01,2010-01-01,2010-01-01,2010-01-31
210635,2010-02-01,2010-02-01,2010-02-01,2010-02-28
254238,2010-03-01,2010-03-01,2010-03-01,2010-03-31
253936,2010-04-01,2010-04-01,2010-04-01,2010-04-30
256927,2010-05-01,2010-05-01,2010-05-01,2010-05-31
260083,2010-06-01,2010-06-01,2010-06-01,2010-06-30
265315,2010-07-01,2010-07-01,2010-07-01,2010-07-31
263837,2010-08-01,2010-08-01,2010-08-01,2010-08-31
244682,2010-09-01,2010-09-01,2010-09-01,2010-09-30
256395,2010-10-01,2010-10-01,2010-10-01,2010-10-31
239579,2010-11-01,2010-11-01,2010-11-01,2010-11-30
240800,2010-12-01,2010-12-01,2010-12-01,2010-12-31
223790,2011-01-01,2011-01-01,2011-01-01,2011-01-31
213463,2011-02-01,2011-02-01,2011-02-01,2011-02-28
253124,2011-03-01,2011-03-01,2011-03-01,2011-03-31
249578,2011-04-01,2011-04-01,2011-04-01,2011-04-30
254083,2011-05-01,2011-05-01,2011-05-01,2011-05-31
258350,2011-06-01,2011-06-01,2011-06-01,2011-06-30
260175,2011-07-01,2011-07-01,2011-07-01,2011-07-31
260526,2011-08-01,2011-08-01,2011-08-01,2011-08-31
242062,2011-09-01,2011-09-01,2011-09-01,2011-09-30
251906,2011-10-01,2011-10-01,2011-10-01,2011-10-31
238535,2011-11-01,2011-11-01,2011-11-01,2011-11-30
244810,2011-12-01,2011-12-01,2011-12-01,2011-12-31
227527,2012-01-01,2012-01-01,2012-01-01,2012-01-31
218196,2012-02-01,2012-02-01,2012-02-01,2012-02-29
256166,2012-03-01,2012-03-01,2012-03-01,2012-03-31
249394,2012-04-01,2012-04-01,2012-04-01,2012-04-30
260774,2012-05-01,2012-05-01,2012-05-01,2012-05-31
260376,2012-06-01,2012-06-01,2012-06-01,2012-06-30
260244,2012-07-01,2012-07-01,2012-07-01,2012-07-31
264379,2012-08-01,2012-08-01,2012-08-01,2012-08-31
238867,2012-09-01,2012-09-01,2012-09-01,2012-09-30
253574,2012-10-01,2012-10-01,2012-10-01,2012-10-31
240361,2012-11-01,2012-11-01,2012-11-01,2012-11-30
238709,2012-12-01,2012-12-01,2012-12-01,2012-12-31
229419,2013-01-01,2013-01-01,2013-01-01,2013-01-31
215803,2013-02-01,2013-02-01,2013-02-01,2013-02-28
253026,2013-03-01,2013-03-01,2013-03-01,2013-03-31
252064,2013-04-01,2013-04-01,2013-04-01,2013-04-30
263406,2013-05-01,2013-05-01,2013-05-01,2013-05-31
259980,2013-06-01,2013-06-01,2013-06-01,2013-06-30
263946,2013-07-01,2013-07-01,2013-07-01,2013-07-31
268061,2013-08-01,2013-08-01,2013-08-01,2013-08-31
242536,2013-09-01,2013-09-01,2013-09-01,2013-09-30
258748,2013-10-01,2013-10-01,2013-10-01,2013-10-31
240055,2013-11-01,2013-11-01,2013-11-01,2013-11-30
241237,2013-12-01,2013-12-01,2013-12-01,2013-12-31
226413,2014-01-01,2014-01-01,2014-01-01,2014-01-31
213949,2014-02-01,2014-02-01,2014-02-01,2014-02-28
253424,2014-03-01,2014-03-01,2014-03-01,2014-03-31
256736,2014-04-01,2014-04-01,2014-04-01,2014-04-30
266237,2014-05-01,2014-05-01,2014-05-01,2014-05-31
263459,2014-06-01,2014-06-01,2014-06-01,2014-06-30
270053,2014-07-01,2014-07-01,2014-07-01,2014-07-31
268831,2014-08-01,2014-08-01,2014-08-01,2014-08-31
247688,2014-09-01,2014-09-01,2014-09-01,2014-09-30
265144,2014-10-01,2014-10-01,2014-10-01,2014-10-31
241451,2014-11-01,2014-11-01,2014-11-01,2014-11-30
252271,2014-12-01,2014-12-01,2014-12-01,2014-12-31
233498,2015-01-01,2015-01-01,2015-01-01,2015-01-31
217220,2015-02-01,2015-02-01,2015-02-01,2015-02-28
258017,2015-03-01,2015-03-01,2015-03-01,2015-03-31
262817,2015-04-01,2015-04-01,2015-04-01,2015-04-30
270839,2015-05-01,2015-05-01,2015-05-01,2015-05-31
270574,2015-06-01,2015-06-01,2015-06-01,2015-06-30
278372,2015-07-01,2015-07-01,2015-07-01,2015-07-31
272209,2015-08-01,2015-08-01,2015-08-01,2015-08-31
255090,2015-09-01,2015-09-01,2015-09-01,2015-09-30
268469,2015-10-01,2015-10-01,2015-10-01,2015-10-31
248843,2015-11-01,2015-11-01,2015-11-01,2015-11-30
259424,2015-12-01,2015-12-01,2015-12-01,2015-12-31
239679,2016-01-01,2016-01-01,2016-01-01,2016-01-31
223011,2016-02-01,2016-02-01,2016-02-01,2016-02-29
265147,2016-03-01,2016-03-01,2016-03-01,2016-03-31
269653,2016-04-01,2016-04-01,2016-04-01,2016-04-30
277972,2016-05-01,2016-05-01,2016-05-01,2016-05-31
276991,2016-06-01,2016-06-01,2016-06-01,2016-06-30
285160,2016-07-01,2016-07-01,2016-07-01,2016-07-31
279213,2016-08-01,2016-08-01,2016-08-01,2016-08-31
262039,2016-09-01,2016-09-01,2016-09-01,2016-09-30
275610,2016-10-01,2016-10-01,2016-10-01,2016-10-31
255154,2016-11-01,2016-11-01,2016-11-01,2016-11-30
264778,2016-12-01,2016-12-01,2016-12-01,2016-12-31
242600,2017-01-01,2017-01-01,2017-01-01,2017-01-31
225644,2017-02-01,2017-02-01,2017-02-01,2017-02-28
268343,2017-03-01,2017-03-01,2017-03-01,2017-03-31
272864,2017-04-01,2017-04-01,2017-04-01,2017-04-30
281264,2017-05-01,2017-05-01,2017-05-01,2017-05-31
280290,2017-06-01,2017-06-01,2017-06-01,2017-06-30
288566,2017-07-01,2017-07-01,2017-07-01,2017-07-31
282558,2017-08-01,2017-08-01,2017-08-01,2017-08-31
265212,2017-09-01,2017-09-01,2017-09-01,2017-09-30
278888,2017-10-01,2017-10-01,2017-10-01,2017-10-31
258159,2017-11-01,2017-11-01,2017-11-01,2017-11-30
267958,2017-12-01,2017-12-01,2017-12-01,2017-12-31
243483,2018-01-01,2018-01-01,2018-01-01,2018-01-31
225146,2018-02-01,2018-02-01,2018-02-01,2018-02-28
269229,2018-03-01,2018-03-01,2018-03-01,2018-03-31
272444,2018-04-01,2018-04-01,2018-04-01,2018-04-30
283417,2018-05-01,2018-05-01,2018-05-01,2018-05-31
280583,2018-06-01,2018-06-01,2018-06-01,2018-06-30
289390,2018-07-01,2018-07-01,2018-07-01,2018-07-31
285979,2018-08-01,2018-08-01,2018-08-01,2018-08-31
263175,2018-09-01,2018-09-01,2018-09-01,2018-09-30
282230,2018-10-01,2018-10-01,2018-10-01,2018-10-31
258574,2018-11-01,2018-11-01,2018-11-01,2018-11-30
269706,2018-12-01,2018-12-01,2018-12-01,2018-12-31
247149,2019-01-01,2019-01-01,2019-01-01,2019-01-31
224137,2019-02-01,2019-02-01,2019-02-01,2019-02-28
270177,2019-03-01,2019-03-01,2019-03-01,2019-03-31
279148,2019-04-01,2019-04-01,2019-04-01,2019-04-30
286395,2019-05-01,2019-05-01,2019-05-01,2019-05-31
279690,2019-06-01,2019-06-01,2019-06-01,2019-06-30
294328,2019-07-01,2019-07-01,2019-07-01,2019-07-31
288116,2019-08-01,2019-08-01,2019-08-01,2019-08-31
267747,2019-09-01,2019-09-01,2019-09-01,2019-09-30
283961,2019-10-01,2019-10-01,2019-10-01,2019-10-31
260326,2019-11-01,2019-11-01,2019-11-01,2019-11-30
261757,2019-12-01,2019-12-01,2019-12-01,2019-12-31
260847,2020-01-01,2020-01-01,2020-01-01,2020-01-31
242695,2020-02-01,2020-02-01,2020-02-01,2020-02-29
226638,2020-03-01,2020-03-01,2020-03-01,2020-03-31
167617,2020-04-01,2020-04-01,2020-04-01,2020-04-30
221006,2020-05-01,2020-05-01,2020-05-01,2020-05-31
250330,2020-06-01,2020-06-01,2020-06-01,2020-06-30
265550,2020-07-01,2020-07-01,2020-07-01,2020-07-31
265060,2020-08-01,2020-08-01,2020-08-01,2020-08-31
257531,2020-09-01,2020-09-01,2020-09-01,2020-09-30
266596,2020-10-01,2020-10-01,2020-10-01,2020-10-31
238300,2020-11-01,2020-11-01,2020-11-01,2020-11-30
241451,2020-12-01,2020-12-01,2020-12-01,2020-12-31
224959,2021-01-01,2021-01-01,2021-01-01,2021-01-31
207160,2021-02-01,2021-02-01,2021-02-01,2021-02-28
262065,2021-03-01,2021-03-01,2021-03-01,2021-03-31
252218,2021-04-01,2021-04-01,2021-04-01,2021-04-30
276639,2021-05-01,2021-05-01,2021-05-01,2021-05-31
279209,2021-06-01,2021-06-01,2021-06-01,2021-06-30
288443,2021-07-01,2021-07-01,2021-07-01,2021-07-31
279596,2021-08-01,2021-08-01,2021-08-01,2021-08-31
270461,2021-09-01,2021-09-01,2021-09-01,2021-09-30
277877,2021-10-01,2021-10-01,2021-10-01,2021-10-31
260433,2021-11-01,2021-11-01,2021-11-01,2021-11-30
261028,2021-12-01,2021-12-01,2021-12-01,2021-12-31
236055,2022-01-01,2022-01-01,2022-01-01,2022-01-31
231137,2022-02-01,2022-02-01,2022-02-01,2022-02-28
271869,2022-03-01,2022-03-01,2022-03-01,2022-03-31
258001,2022-04-01,2022-04-01,2022-04-01,2022-04-30
282678,2022-05-01,2022-05-01,2022-05-01,2022-05-31
277059,2022-06-01,2022-06-01,2022-06-01,2022-06-30
281976,2022-07-01,2022-07-01,2022-07-01,2022-07-31
284347,2022-08-01,2022-08-01,2022-08-01,2022-08-31
275638,2022-09-01,2022-09-01,2022-09-01,2022-09-30
280673,2022-10-01,2022-10-01,2022-10-01,2022-10-31
258728,2022-11-01,2022-11-01,2022-11-01,2022-11-30
258030,2022-12-01,2022-12-01,2022-12-01,2022-12-31
249207,2023-01-01,2023-01-01,2023-01-01,2023-01-31
235447,2023-02-01,2023-02-01,2023-02-01,2023-02-28
273712,2023-03-01,2023-03-01,2023-03-01,2023-03-31
258225,2023-04-01,2023-04-01,2023-04-01,2023-04-30
289639,2023-05-01,2023-05-01,2023-05-01,2023-05-31
285604,2023-06-01,2023-06-01,2023-06-01,2023-06-30
289796,2023-07-01,2023-07-01,2023-07-01,2023-07-31
290916,2023-08-01,2023-08-01,2023-08-01,2023-08-31
278035,2023-09-01,2023-09-01,2023-09-01,2023-09-30
284049,2023-10-01,2023-10-01,2023-10-01,2023-10-31
265139,2023-11-01,2023-11-01,2023-11-01,2023-11-30
263587,2023-12-01,2023-12-01,2023-12-01,2023-12-31
247061,2024-01-01,2024-01-01,2024-01-01,2024-01-31
240257,2024-02-01,2024-02-01,2024-02-01,2024-02-29
275496,2024-03-01,2024-03-01,2024-03-01,2024-03-31
